product_name,ingredients,nutrition_grade,nutrition_score,energy,sugar,fiber,protein,sodium,fat,saturated_fat,lipids,carbohydrates,additives,allergy,category
"Thon entier Premium","Thon, huile végétale, saumure.",a,-2.0,828.0,1.2,0.0,29.14,0.0,8.21,0.8,0.0,0.0,"no additives","no allergy",fish
"Surimi et crabe en sauce cocktail","surimi 41 % [_poisson_, eau, amidon de pomme de terre, blanc d'_œuf_, huile de colza, sel, sucre, stabilisants (E420, E452), arôme de _homard_, colorants (E160a, E160c)I, huile de colza, _crabe_ 8%, ananas 6%, concentré de tomates, sucre, mandarine 4%, jaune d'_œuf_, pêche 1%, vinaigre, _moutarde_, whisky, sel, amidon modifié de maïs, correcteur d'acidité (E330), épaississants(E412, E415), arôme, conservateurs (E202, E211).",b,1.0,1264.0,2.3,0.1,5.6,0.08,26.8,1.7,0.0,0.0,"en:e14xx,en:e160a,en:e160c,en:e202,en:e211,en:e330,en:e412,en:e415,en:e420,en:e452","no allergy",fish
"Filets de cabillaud panés","Filets de _cabillaud_ qualité sans arêtes* (Gadus morhua ou Gadus macroéphalus) 65% - chapelure (farine de _blé_ - levure - sel) - huiles végétales (tournesol - colza) - farine de _blé_ - eau - gluten de _blé_ - sel.",a,-1.0,874.0,1.5,0.0,13.1,0.2,8.69,0.8,0.0,0.0,"no additives","no allergy",fish
"Rillettes de thon fromage frais et ciboulette","dethon et fromage frais ingrédients Thon 35,77% ( poisson), saumon Atlantique (poisson), fromage frais 12,35% (contient lait origine France), fromage blanc (contient lait origine France), huiles végétales (huile de colza, huile de tournesol), eau, ciboulette 1,33% fumet de poisson (lactose, arômes naturels, poisson en poudre, sel, crème (contient lait), protéines de lait épices, plantes aromatiques, farine de ble (contient gluten) , concentré de tomates, sel éventuelles de mollusques, crustacés, moutarde, de sésame, fruits à coque, soja, sulfites, céleri,",c,5.0,1113.0,1.4,0.0,12.0,0.32,23.0,4.2,0.0,0.0,"","no allergy",fish
"Calmars à l'encre","Calmar, huile végétale, encre, épices, sel",a,-2.0,561.0,0.0,0.0,11.8,0.192,7.7,1.0,0.0,0.0,"no additives","no allergy",fish
"Miettes de thon à la tomate","Thon, tomate, huile végétale, sucre, sel et arôme naturel.",b,2.0,649.0,2.0,0.4,16.9,0.508,8.5,1.5,0.0,0.0,"no additives","no allergy",fish
"Filets de limande du Nord meunière","filets de _limande du Nord sans arète* (72%). Enrobage 28% : eau, huiles végétales (tournesol, colza), farine de _blé_, fécule de pomme de terre, amidon modifié de maïs, _gluten_ de _blé_, sel, _lactose_ et protéines de _lait_, arôme, sucre, dextrose, persil déshydraté, colorants : carotène et extraits de paprika et de curcuma, poudre d'_œuf_ entier, épaississants : E461-E412-E415; amidon modifié de tapioca, poudres à lever : E450i-E500ii.",b,1.0,732.0,0.6,0.0,12.0,0.38,8.2,0.8,0.0,0.0,"en:e14xx,en:e160a,en:e412,en:e415,en:e450,en:e450i,en:e461,en:e500,en:e500ii","no allergy",fish
"Petits coraya sauce mayonnaise","Mayonnaise: Huile de colza, moutarde de Dijon (eau, graines de moutarde, vinaigre d'alcool, sel, acidifiant : E330, conservateur E224*), eau, jaune d'euf salé (jaune d'auf, sel), sirop de amidon modifié de maïs&quot;, jus concentré de citron, stabilisants glucose-fructose*, vinaigre d'alcool, vinaigre de vin blanc*, F415 et E412, colorant: E160a, antioxydant : E385",b,2.0,469.0,2.3,0.0,8.2,0.6,4.2,0.3,0.0,0.0,"en:e160a,en:e224,en:e330,en:e385,en:e412","no allergy",fish
"Filets de merlu blanc meunière","Filets de MERLU blanc du Cap MSC 80% (Merluccius capensis - Merluccius pardoxus), huiles végétales (tournesol, colza), eau semoule de BLE, farine de BLE, amidon transformé de BLE, sel, LACTOSE, poudre de LAIT écrémé, poudre de citron (maltodextrine, citron) 0,13%, arôme, persil 0,07%, dextrose, amidon modifié. Traces éventuelles d'oeuf.",a,-1.0,655.0,0.9,0.5,15.0,0.304,7.1,0.9,0.0,0.0,en:e14xx,"no allergy",fish
"Filets de Maquereaux (Moutarde à l'Ancienne et au Citron","Filets de _maquereaux_ 56 %, eau, moutarde de Dijon 5 % (eau, graines de _moutarde_, vinaigre d'alcool, sel, acidifiant : acide citrique, antioxydant : _bisulfite_ de sodium ou _bisulfite_ de potassium), vinaigre d'alcool, huile végétale, moutarde à l'ancienne (eau 3 %, graines de _moutarde_, vinaigre d'alcool, sel, extrait d'épices et d'aromates, curcuma), arômes, jus de citron concentré 0.6 %, sel, amidon transformé de maïs, épaississants : gomme guar et gomme xanthane.",d,11.0,841.0,0.4,0.7,11.4,0.6,17.0,3.4,0.0,0.0,"en:e14xx,en:e222,en:e228,en:e330,en:e412,en:e415","no allergy",fish
